"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Larry Eugene Boyd",4.95582705760126,"43","Unknown Race","Male","https://www.wkrn.com/news/crime-tracker/body-cam-footage-sheds-light-on-moments-leading-up-to-man-dying-in-mnpd-custody/","2020-12-03","Metropolitan Nashville Police Department","Taser","Officers responded around 11:30 p.m. to an open 911 call at a home. Responding Officer Kristopher Sutton knocked and made announcements to open the door repeatedly before gaining entry after hearing what sounded like a fight inside, and seeing a man with a gun through a window. Officer Sutton allegedly saw BLarry Eugene Boyd armed with a pistol standing over a 37-year-old woman whom he was visiting. The woman broke free and ran out the door along with two others who had been hiding in a bedroom. Boyd appeared to be drugged and came toward Officer Sutton, dropping his pistol near the front door. The two men struggled down the front porch stairs into the yard where Officers Edward Holden and Josh Whitworth joined Sutton in struggling to bring Boyd into custody. A Taser reportedly was used in two five-second bursts to incapacitate Boyd. After being handcuffed, officers reportedly put Boyd into a seated position and called for an ambulance. Nashville Fire Department reportedly gave Boyd medication, but he died.","Pending investigation","No known charges","Drug or alcohol use","Allegedly Armed","gun","other","","",37206,"Nashville","TN",36.180806,-86.74176,"https://www.wkrn.com/news/crime-tracker/tbi-investigating-death-of-nashville-man-who-died-in-police-custody/"
"Larry Eugene Jackson Jr.",7.95191138185419,"32","Black","Male","http://media.cmgdigital.com/shared/img/photos/2014/02/10/fd/39/jackson-2012.jpg","2013-07-26","Austin Police Department","Gunshot","Jackson was shot and killed by Charles Kleinert, a police detective who was investigating a bank robbery. The detective shot Jackson in the back of the neck after he allegedly fled and then struggled with the officer, according to an initial report. An amended report has since been filed which does not state that Jackson fled or fought with Kleinert. An investigation is pending.","Charged with manslaughter, Charges Dismissed in Federal Court","Charged, Charges Dropped","No","Unarmed/Did Not Have Actual Weapon","no object","","","",78705,"Austin","TX",30.292424,-97.73856,"http://pjmedia.com/tatler/2013/07/30/the-strange-killing-of-larry-eugene-jackson-jr-by-an-austin-police-detective/"
"Larry Hamm",64.8525826906555,"47","Black","Male","","2020-12-28","Denver Police Department","Gunshot","Officers heard shots being fired and saw a carjacking taking place. After watching the man, believed to have been involved in an earlier burglary, attempt to get into two cars, he was able to get into a third car with a woman inside. The officer shot and killed Larry Hamm, and the woman was unharmed.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Foot","No",80220,"Denver","CO",39.734387,-104.91678,"https://www.9news.com/article/news/crime/denver-shooting-9th-monaco/73-c6499a81-bd6d-4316-ac4e-27974ed270e2"
"Larry Jenkins",16.1160216016042,"52","Black","Male","https://fatalencounters.org/wp-content/uploads/2021/04/Larry-Jenkins.jpg","2021-04-17","Winter Haven Police Department","Gunshot, Taser","Police responded to a call regarding an armed disturbance. The caller alleges Jenkins made unwanted sexual advances towards her child. The caller claims Jenkins attempted to shoot himself in the head but the gun did not go off. Jenkins then allegedly shot at the ground, prompting the caller to call 911 and leave the scene. When police arrived, they allege Jenkins ahd a gun in his pocket. Jenkins allegedly walked towards officers and one deployed their taser on Jenkins. Police allege Jenkins attempted to grab a gun and deployed the taser again. After being tased a second time, police allege Jenkins pulled out his gun and one sergeant fired at least seven times within seconds. Jenkins later died.","Pending investigation","No known charges","Drug or Alcohol Use","Allegedly Armed","gun","other","not fleeing","no",33884,"Winter Haven","FL",27.997387,-81.68256,"https://www.fox13news.com/news/fatal-winter-haven-officer-involved-shooting-under-investigation"
"Larry Smith",93.5853056494195,"61","Unknown Race","Male","","2014-05-30","Kentucky State Police Department","Gunshot","Smith aimed a gun at troopers - they responded by shooting and killing Smith","Unreported","No known charges","Unknown","Allegedly Armed","gun","","","",41701,"Hazard","KY",37.274854,-83.19061,"http://www.wkyt.com/wymt/home/headlines/Police-on-scene-of-standoff-in-Perry-County-261341691.html"
"Larry Taylor",5.04985600724954,"39","Black","Male","","2020-12-21","Prichard Police Department","Gunshot","Around 10 p.m., at the Avalon Plaza Apartments, police found Larry Taylor who had been fatally shot. Off-duty Prichard police officer Jonathan Murphy was charged with murder. Details as to what precipitated the killing were withheld by police.","Charged with murder","Charged with a crime","No","Unclear","undetermined","other","Not fleeing","No",36609,"Mobile","AL",30.662735,-88.16255,"https://www.wkrg.com/top-stories/off-duty-prichard-police-officer-charged-with-murder-after-shooting-at-mobile-apartment-complex/"
"Lauren Brown",15.9255278603362,"55","White","Male","http://wgcl.images.worldnow.com/images/21943888_BG1.jpg","2013-04-10","Suwanee Police Department SWAT","Gunshot","Lured firefighters into house, held them, was killed by SWAT.","Unknown","No known charges","Unknown","Allegedly Armed","gun","","","",30024,"Suwanee","GA",34.052698,-84.07485,"http://www.cbs46.com/story/21943888/police-identify-man-killed-after-taking-gwinnett-county-firefighters-hostage"
"Lavall Hall",11.6142538625547,"25","Black","Male","http://wsvn.images.worldnow.com/images/6730963_G.jpg","2015-02-15","Miami Gardens Police Department","Gunshot, Taser","Hall's mother placed a 911 call to report that her schizophrenic son had awoken in a violent rage. Multiple officers responded at about 5am, were confronted with Hall holding a broomstick. Well aware of his mental illness, they promptly shot him to death. The family has since filed a $10M wrongful death suit.","Unreported","No known charges","Yes","Unarmed/Did Not Have Actual Weapon","no object","other","Not fleeing","No",33169,"Miami","FL",25.94267,-80.21276,"http://miami.cbslocal.com/2015/03/02/family-files-suit-in-deadly-miami-gardens-police-shooting/"
"Lawrence Campbell",6.55535689181067,"27","Black","Male","http://media.nj.com/hudsoncountynow_impact/photo/15401902-large.jpg","2014-07-13","Jersey City Police Department","Gunshot","Campbell was shot and killed by police during an armed robbery at Walgreens at the corner of Communipaw Avenue and Kennedy Boulevard in Jersey City. Police Officer Melvin Santiago was also killed during the standoff.","Justified","No known charges","No","Allegedly Armed","gun","","","",7047,"North Bergen","NJ",40.7946,-74.01963,"http://www.nj.com/hudson/index.ssf/2014/07/man_who_killed_jersey_city_police_officer_is_identified.html"
"Lawrence Edward Graham III",7.65444322647011,"20","Black","Male","http://wwwcache.wral.com/asset/news/local/2013/05/01/12402093/graham-300x225.jpg","2013-05-01","Fayetteville Police Department","Gunshot","During a traffic stop for a window-tint violation, Graham, who was a passenger in the vehicle, exited, pursued by officer. Graham turned, displaying a handgun, and officer shot him. Graham was paralyzed, and died July 2 from a blot-clot related to injuries.","Justified","No known charges","No","Allegedly Armed","gun","","","",28301,"Fayetteville","NC",35.042389,-78.84124,"http://www.fayobserver.com/news/local/cumberland-county-da-says-no-charges-for-fayetteville-police-officer/article_ed8e655f-c2a0-5549-9ef4-f9f979efd901.html"
"Lawrence Green",7.62070508683826,"38","Black","Male","http://www.killedbypolice.net/victims/150964.jpg","2015-10-22","Shreveport Police Department","Gunshot","Police shot Green after he approached an officer with a knife and ignored commands to drop it, police said. Officers came to the area in response to reports about an armed person, according to authorities.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","attack","Not fleeing","No",71101,"Shreveport","LA",32.505352,-93.74861,"http://www.shreveporttimes.com/story/news/2015/10/22/police-man-knife-shot-officer/74382544/"
"Lawrence McClellon",6.20657592672493,"62","Unknown Race","Male","","2017-12-22","Bannock County Sheriff's Office","Gunshot","At 7:40 p.m., Pocatello police were called to Homer Drive. Police called for additional support to deal with a man inside the residence with a gun. Bannock County Sheriff's Office deputies responded. At some time during the incident, a Bannock County deputy shot and killed Lawrence McClellon, although details as to what led to the killing were withheld by police.","Justified by County Prosecutor","No known charges","No","Allegedly Armed","gun","other","Not fleeing","No",83201,"Pocatello","ID",42.883214,-112.43968,"http://www.localnews8.com/news/crime-tracker/bannock-county-sheriffs-office-investigates-standoff-shooting/676703844"
"Leah Baker",10.9158518091563,"29","White","Female","","2020-04-11","Jacksonville Sheriff's Office","Gunshot","Officer E. Meckling responded to dispute between several people over medicine. Leah Baker reportedly swung a butcher knife at Meckling, cutting her. Two other officers shot and killed Leah Baker, who they said wouldn't follow commands and charged them.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","other","Not fleeing","No",32209,"Jacksonville","FL",30.354588,-81.69113,"https://www.news4jax.com/news/local/2020/04/11/officer-injured-in-northwest-jacksonville-shooting-suspect-taken-to-hospital/"
"Leonard Shand",18.0880428946632,"49","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/10/Shand-Leonard.jpeg","2019-09-26","Prince George's County Police Department, Hyattsville Police Department, Mount Rainier Police Department","Gunshot","Hyattsville police received a call at 7:14 a.m. about an armed man at a coffee shop. Hyattsville officers responded four minutes later. Officers from the Prince George's, Hyattsville and Mount Rainier police departments fired at the man after he allegedly charged at an officer.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","attack","Not fleeing","No",20782,"Hyattsville","MD",38.96401,-76.96139,"https://www.nbcwashington.com/news/local/Prince-Georges-Police-Investigating-Officer-Involved-Shooting-561423731.html"
"Leonard Thomas",246.397664616623,"30","White","Male","","2013-05-24","Pierce County Metro SWAT","Gunshot","Despondent over a friend's recent death, family members called police to protect Thomas' child. Police shot him when he tried to pull the child back into the house.","Unknown","No known charges","Drug or alcohol use","Unarmed/Did Not Have Actual Weapon","no object","","","",98105,"Seattle","WA",47.66377,-122.30118,"http://seattletimes.com/html/localnews/2021053308_fifeshootingxml.html"
"Leonel Mendez",5.82008293035236,"34","Hispanic","Male","","2019-07-04","Denver Police Department, Jefferson County Sheriff's Office","Gunshot","Leonel Mendez was reportedly wanted for questioning regarding a murder. After a vehicle chase, he allegedly fled on foot and fired at officers before police shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",80401,"Golden","CO",39.735745,-105.19337,"https://kdvr.com/2019/07/04/officer-involved-in-shooting-near-colorado-mills-mall/"
"Leroy Browning",7.58629630715272,"30","Black","Male","http://www.killedbypolice.net/victims/151158.jpg","2015-12-20","Los Angeles County Sheriff's Department","Gunshot","Browning fled from deputies who were attempting to arrest him for DUI. Browning allegedly reached for a deputy's firearm during a physical altercation prompting police to open fire.","Pending investigation/No Known Charges","No known charges","Unknown","Unarmed/Did Not Have Actual Weapon","no object","attack","Not fleeing","No",93552,"Palmdale","CA",34.561207,-118.0375,"http://abc7.com/news/suspect-killed-in-deputy-involved-shooting-at-palmdale-taco-bell/1129777/"
"Lester Machado",50.3135138734481,"24","Hispanic","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Lester-Machado.jpg","2017-10-01","Hialeah Police Department","Gunshot","Police responded to a shots-fired complaint. During a chase, Lester Machado was shot and killed. Few details were immediately released.","Pending investigation/No Known Charges","No known charges","No","Vehicle","vehicle","attack","Car","No",33147,"Miami","FL",25.850124,-80.23773,"https://www.local10.com/news/crime/police-investigation-in-hialeah"
"Lewis Ruffin Jr.",11.7215724469317,"38","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/06/Lewis-Ruffin.jpg","2020-06-09","Orange County Sheriff’s Office","Gunshot","Lewis Ruffin was arrested for allegedly threatening his girlfriend with a kitchen knife and trying to run her off the road. He bonded out of jail and the girlfriend told police she was walking her dog in her neighborhood, when Ruffin forced her into a car while holding a gun. He reportedly texted her saying he was going back to the apartment so that police could kill him. Five deputies arrived to find Ruffin holding a gun, and he allegedly shot at them, and the deputies, possibly all five, shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",32839,"Orlando","FL",28.489758,-81.40625,"https://www.wesh.com/article/orange-county-deputy-shooting-fatal/32814422"
